State,Members retiring,Date of retirement
Andhra Pradesh,4,21 June 2022
Assam,2,2 April 2022
Bihar,5,7 July 2022
Chhattisgarh,2,29 June 2022
Haryana,2,1 August 2022
Himachal Pradesh,1,2 April 2022
Jharkhand,2,7 July 2022
Karnataka,4,30 June 2022
Kerala,3,2 April 2022
Madhya Pradesh,3,29 June 2022
Maharashtra,6,4 July 2022
Nagaland,1,2 April 2022
Odisha,3,1 July 2022
Punjab,5,9 April 2022
Punjab,2,4 July 2022
Rajasthan,4,4 July 2022
Tamil Nadu,6,29 June 2022
Telangana,2,21 June 2022
Tripura,1,2 April 2022
Uttar Pradesh,11,4 July 2022
Uttarakhand,1,4 July 2022
